"parameter","estimate","se","rse","shrinkage","file"
"ETA1",0.0197,0.00435,22.0812182741117,NA,"FinalControlFile.lst"
"ETA2",0.0698,0.0157,22.4928366762178,NA,"FinalControlFile.lst"
"ETA3",0.104,0.0198,19.0384615384615,NA,"FinalControlFile.lst"
"ETA4",0.341,0.0702,20.5865102639296,NA,"FinalControlFile.lst"
"ETA5",0.264,0.0936,35.4545454545455,NA,"FinalControlFile.lst"
"ETA6",0.265,0.0612,23.0943396226415,NA,"FinalControlFile.lst"
"ETA1",0.0509,0.0112,22.0039292730845,NA,"FinalResultFile.lst"
"ETA2",0.0494,0.0103,20.8502024291498,NA,"FinalResultFile.lst"
"ETA1",0.128,0.0304,23.75,NA,"FinalResultFile_10.lst"
"ETA2",0.0834,0.0163,19.5443645083933,NA,"FinalResultFile_10.lst"
"ETA3",0.165,0.0394,23.8787878787879,NA,"FinalResultFile_10.lst"
"ETA4",0.0573,0.0583,101.74520069808,NA,"FinalResultFile_10.lst"
"ETA5",0.0858,0.0128,14.9184149184149,NA,"FinalResultFile_10.lst"
"ETA6",0,0,NA,NA,"FinalResultFile_10.lst"
"ETA1",0.096,0.0455,47.3958333333333,NA,"FinalResultFile_1037.lst"
"ETA1",0.0687,0.0486,70.7423580786026,NA,"FinalResultFile_109.lst"
"ETA2",0.336,0.18,53.5714285714286,NA,"FinalResultFile_109.lst"
"ETA1",0.128,0.0304,23.75,NA,"FinalResultFile_11.lst"
"ETA2",0.0835,0.0163,19.5209580838323,NA,"FinalResultFile_11.lst"
"ETA3",0.166,0.0395,23.7951807228916,NA,"FinalResultFile_11.lst"
"ETA4",0.0571,0.0583,102.101576182137,NA,"FinalResultFile_11.lst"
"ETA5",0.0859,0.0128,14.9010477299185,NA,"FinalResultFile_11.lst"
"ETA6",0,0,NA,NA,"FinalResultFile_11.lst"
"ETA1",0.0533,0.0204,38.2739212007505,NA,"FinalResultFile_114.lst"
"ETA2",0,0.528,Inf,NA,"FinalResultFile_114.lst"
"ETA3",0.159,0.054,33.9622641509434,NA,"FinalResultFile_114.lst"
"ETA1",0.0937,0.0323,34.4717182497332,NA,"FinalResultFile_119.lst"
"ETA2",0.0168,0.00615,36.6071428571429,NA,"FinalResultFile_119.lst"
"ETA1",0.0928,0.0428,46.1206896551724,NA,"FinalResultFile_1198.lst"
"ETA1",0.128,0.0304,23.75,NA,"FinalResultFile_12.lst"
"ETA2",0.0834,0.0163,19.5443645083933,NA,"FinalResultFile_12.lst"
"ETA3",0.166,0.0396,23.855421686747,NA,"FinalResultFile_12.lst"
"ETA4",0.0572,0.0582,101.748251748252,NA,"FinalResultFile_12.lst"
"ETA5",0.0859,0.0128,14.9010477299185,NA,"FinalResultFile_12.lst"
"ETA6",0,0,NA,NA,"FinalResultFile_12.lst"
"ETA1",0.189,0.0356,18.8359788359788,NA,"FinalResultFile_13.lst"
"ETA2",0.224,0.0478,21.3392857142857,NA,"FinalResultFile_13.lst"
"ETA3",0.164,0.0389,23.7195121951219,NA,"FinalResultFile_13.lst"
"ETA4",2.11e-05,0.00118,5592.41706161137,NA,"FinalResultFile_13.lst"
"ETA5",0.1,12,12000,NA,"FinalResultFile_13.lst"
"ETA6",0.0571,0.015,26.2697022767075,NA,"FinalResultFile_13.lst"
"ETA7",0.0571,NA,NA,NA,"FinalResultFile_13.lst"
"ETA8",0.0571,NA,NA,NA,"FinalResultFile_13.lst"
"ETA1",0.0966,0.0457,47.3084886128364,NA,"FinalResultFile_1359.lst"
"ETA1",0.192,0.0361,18.8020833333333,NA,"FinalResultFile_14.lst"
"ETA2",0.23,0.0485,21.0869565217391,NA,"FinalResultFile_14.lst"
"ETA3",0.164,0.039,23.780487804878,NA,"FinalResultFile_14.lst"
"ETA4",1.45e-05,0.000174,1200,NA,"FinalResultFile_14.lst"
"ETA5",1.45e-05,NA,NA,NA,"FinalResultFile_14.lst"
"ETA6",1.45e-05,NA,NA,NA,"FinalResultFile_14.lst"
"ETA7",0.0568,0.0148,26.056338028169,NA,"FinalResultFile_14.lst"
"ETA8",0.0568,NA,NA,NA,"FinalResultFile_14.lst"
"ETA9",0.0568,NA,NA,NA,"FinalResultFile_14.lst"
"ETA1",0.188,0.0354,18.8297872340426,NA,"FinalResultFile_15.lst"
"ETA2",0.233,0.0492,21.1158798283262,NA,"FinalResultFile_15.lst"
"ETA3",0.164,0.0391,23.8414634146341,NA,"FinalResultFile_15.lst"
"ETA4",0.0561,0.0147,26.2032085561497,NA,"FinalResultFile_15.lst"
"ETA5",0.0561,NA,NA,NA,"FinalResultFile_15.lst"
"ETA6",0.0561,NA,NA,NA,"FinalResultFile_15.lst"
"ETA1",0.0835,0.0401,48.0239520958084,NA,"FinalResultFile_1520.lst"
"ETA1",0.188,0.0354,18.8297872340426,NA,"FinalResultFile_16.lst"
"ETA2",0.233,0.0492,21.1158798283262,NA,"FinalResultFile_16.lst"
"ETA3",0.164,0.039,23.780487804878,NA,"FinalResultFile_16.lst"
"ETA4",0.0561,0.0147,26.2032085561497,NA,"FinalResultFile_16.lst"
"ETA5",0.0561,NA,NA,NA,"FinalResultFile_16.lst"
"ETA6",0.0561,NA,NA,NA,"FinalResultFile_16.lst"
"ETA1",0.0845,0.047,55.6213017751479,NA,"FinalResultFile_1681.lst"
"ETA1",0.191,0.0359,18.7958115183246,NA,"FinalResultFile_17.lst"
"ETA2",0.235,0.0495,21.063829787234,NA,"FinalResultFile_17.lst"
"ETA3",0.164,0.0389,23.7195121951219,NA,"FinalResultFile_17.lst"
"ETA4",0.0565,0.0148,26.1946902654867,NA,"FinalResultFile_17.lst"
"ETA5",0.0565,NA,NA,NA,"FinalResultFile_17.lst"
"ETA6",0.0565,NA,NA,NA,"FinalResultFile_17.lst"
"ETA1",0.191,0.0359,18.7958115183246,NA,"FinalResultFile_18.lst"
"ETA2",0.227,0.048,21.1453744493392,NA,"FinalResultFile_18.lst"
"ETA3",0.164,0.0391,23.8414634146341,NA,"FinalResultFile_18.lst"
"ETA4",0.0567,0.0148,26.1022927689594,NA,"FinalResultFile_18.lst"
"ETA5",0.0567,NA,NA,NA,"FinalResultFile_18.lst"
"ETA6",0.0567,NA,NA,NA,"FinalResultFile_18.lst"
"ETA1",0.0982,0.0437,44.5010183299389,NA,"FinalResultFile_1842.lst"
"ETA1",0.191,0.0359,18.7958115183246,NA,"FinalResultFile_19.lst"
"ETA2",0.228,0.0482,21.140350877193,NA,"FinalResultFile_19.lst"
"ETA3",0.164,0.0392,23.9024390243902,NA,"FinalResultFile_19.lst"
"ETA4",0.0566,0.0148,26.1484098939929,NA,"FinalResultFile_19.lst"
"ETA5",0.0566,NA,NA,NA,"FinalResultFile_19.lst"
"ETA6",0.0566,NA,NA,NA,"FinalResultFile_19.lst"
"ETA1",0.191,0.0359,18.7958115183246,NA,"FinalResultFile_20.lst"
"ETA2",0.228,0.0482,21.140350877193,NA,"FinalResultFile_20.lst"
"ETA3",0.164,0.0391,23.8414634146341,NA,"FinalResultFile_20.lst"
"ETA4",0.0566,0.0147,25.9717314487633,NA,"FinalResultFile_20.lst"
"ETA5",0.0566,NA,NA,NA,"FinalResultFile_20.lst"
"ETA6",0.0566,NA,NA,NA,"FinalResultFile_20.lst"
"ETA1",0.105,0.0369,35.1428571428571,NA,"FinalResultFile_2003.lst"
"ETA2",0.0363,0.0156,42.9752066115702,NA,"FinalResultFile_2003.lst"
"ETA1",0.191,0.036,18.848167539267,NA,"FinalResultFile_21.lst"
"ETA2",0.228,0.0482,21.140350877193,NA,"FinalResultFile_21.lst"
"ETA3",0.164,0.0391,23.8414634146341,NA,"FinalResultFile_21.lst"
"ETA4",0.0566,0.0147,25.9717314487633,NA,"FinalResultFile_21.lst"
"ETA5",0.0566,NA,NA,NA,"FinalResultFile_21.lst"
"ETA6",0.0566,NA,NA,NA,"FinalResultFile_21.lst"
"ETA1",0.11,0.0404,36.7272727272727,NA,"FinalResultFile_2164.lst"
"ETA2",0.0377,0.0169,44.8275862068966,NA,"FinalResultFile_2164.lst"
"ETA1",6e-05,NA,NA,NA,"FinalResultFile_22.lst"
"ETA2",5e-05,NA,NA,NA,"FinalResultFile_22.lst"
"ETA3",0.0514,NA,NA,NA,"FinalResultFile_22.lst"
"ETA4",0.0561,NA,NA,NA,"FinalResultFile_22.lst"
"ETA1",6e-05,NA,NA,NA,"FinalResultFile_23.lst"
"ETA2",5e-05,NA,NA,NA,"FinalResultFile_23.lst"
"ETA3",0.0514,NA,NA,NA,"FinalResultFile_23.lst"
"ETA4",0.0561,NA,NA,NA,"FinalResultFile_23.lst"
"ETA1",0.088,0.0306,34.7727272727273,NA,"FinalResultFile_232.lst"
"ETA2",0.0142,0.00515,36.2676056338028,NA,"FinalResultFile_232.lst"
"ETA1",0.105,0.037,35.2380952380952,NA,"FinalResultFile_2325.lst"
"ETA2",0.0367,0.0161,43.8692098092643,NA,"FinalResultFile_2325.lst"
"ETA1",6e-05,0,0,NA,"FinalResultFile_24.lst"
"ETA2",5e-05,0,0,NA,"FinalResultFile_24.lst"
"ETA3",0.0514,0.0113,21.9844357976654,NA,"FinalResultFile_24.lst"
"ETA4",0.0561,0.0124,22.1033868092692,NA,"FinalResultFile_24.lst"
"ETA1",0.0795,0.0434,54.5911949685535,NA,"FinalResultFile_2486.lst"
"ETA1",0.0839,0.00943,11.2395709177592,NA,"FinalResultFile_25.lst"
"ETA2",0.0767,0.0173,22.5554106910039,NA,"FinalResultFile_25.lst"
