"file","est_method","has_cov","n_lines","n_thetas","n_etas","n_sigmas","ofv","ofv_warn","condn","condn_warn"
"FinalControlFile.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1162,13,6,2,3290.662,NA,236.09756097561,NA
"FinalResultFile.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,607,4,2,2,4738.766,NA,50.9090909090909,NA
"FinalResultFile_10.lst","FIRST ORDER",TRUE,1164,6,6,3,2464.602,NA,42.6315789473684,NA
"FinalResultFile_1037.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,582,4,1,2,-487.147,NA,37.300435413643,NA
"FinalResultFile_109.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,621,3,2,2,110.443,NA,148.8,NA
"FinalResultFile_11.lst","FIRST ORDER",TRUE,1164,6,6,3,2464.602,NA,43.2756324900133,NA
"FinalResultFile_114.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,664,3,3,2,1625.313,NA,28.5868392664509,NA
"FinalResultFile_119.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,603,3,2,2,-1077.482,NA,406.474820143885,NA
"FinalResultFile_1198.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,636,4,1,2,-461.478,NA,26.9187986651835,NA
"FinalResultFile_12.lst","FIRST ORDER",TRUE,1162,6,6,3,2464.602,NA,41.2738853503185,NA
"FinalResultFile_13.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1593,10,8,2,8560.652,NA,57.7106518282989,NA
"FinalResultFile_1359.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,585,4,1,2,-485.402,NA,35.743519781719,NA
"FinalResultFile_14.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1758,8,9,2,8562.651,NA,54.0500736377025,NA
"FinalResultFile_15.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1168,7,6,2,8564.768,NA,54.6130952380952,NA
"FinalResultFile_1520.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,645,4,1,2,-411.072,NA,15.8139534883721,NA
"FinalResultFile_16.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1054,7,6,2,8564.768,NA,54.7619047619048,NA
"FinalResultFile_1681.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,635,3,1,2,-243.539,NA,16.9672131147541,NA
"FinalResultFile_17.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1054,7,6,2,8563.983,NA,53.4206695778748,NA
"FinalResultFile_18.lst","FIRST ORDER CONDITIONAL ESTIMATION WITH INTERACTION",TRUE,1051,7,6,2,8564.112,NA,55.6732223903177,NA
