"parameter","estimate","se","rse","file"
"EPS1",0.0117,0.0013,11.1111111111111,"FinalControlFile.lst"
"EPS2",0.000303,0.000155,51.1551155115512,"FinalControlFile.lst"
"EPS1",0.0984,0.00739,7.51016260162602,"FinalResultFile.lst"
"EPS2",0.154,0.129,83.7662337662338,"FinalResultFile.lst"
"EPS1",0.0158,0.000903,5.71518987341772,"FinalResultFile_10.lst"
"EPS2",0.0607,0.00672,11.0708401976936,"FinalResultFile_10.lst"
"EPS3",0.524,0.453,86.4503816793893,"FinalResultFile_10.lst"
"EPS1",0.0286,0.00812,28.3916083916084,"FinalResultFile_1037.lst"
"EPS2",0.0112,0.00172,15.3571428571429,"FinalResultFile_1037.lst"
"EPS1",0.0227,0.00997,43.920704845815,"FinalResultFile_109.lst"
"EPS2",0.0765,0.0818,106.928104575163,"FinalResultFile_109.lst"
"EPS1",0.0158,0.000903,5.71518987341772,"FinalResultFile_11.lst"
"EPS2",0.0608,0.00669,11.0032894736842,"FinalResultFile_11.lst"
"EPS3",0.527,0.448,85.0094876660342,"FinalResultFile_11.lst"
"EPS1",0.0556,0.00982,17.6618705035971,"FinalResultFile_114.lst"
"EPS2",2,1,50,"FinalResultFile_114.lst"
"EPS1",0.0181,0.00337,18.6187845303867,"FinalResultFile_119.lst"
"EPS2",0.0092,0.00114,12.3913043478261,"FinalResultFile_119.lst"
"EPS1",0.0223,0.00476,21.3452914798206,"FinalResultFile_1198.lst"
"EPS2",0.00977,0.00196,20.0614124872057,"FinalResultFile_1198.lst"
"EPS1",0.0158,0.000903,5.71518987341772,"FinalResultFile_12.lst"
"EPS2",0.0608,0.0067,11.0197368421053,"FinalResultFile_12.lst"
"EPS3",0.524,0.449,85.6870229007634,"FinalResultFile_12.lst"
"EPS1",0.0387,0.00216,5.58139534883721,"FinalResultFile_13.lst"
"EPS2",0.875,0.758,86.6285714285714,"FinalResultFile_13.lst"
"EPS1",0.0279,0.00784,28.1003584229391,"FinalResultFile_1359.lst"
"EPS2",0.0112,0.00172,15.3571428571429,"FinalResultFile_1359.lst"
"EPS1",0.0387,0.00216,5.58139534883721,"FinalResultFile_14.lst"
"EPS2",0.88,0.76,86.3636363636364,"FinalResultFile_14.lst"
"EPS1",0.0388,0.00217,5.59278350515464,"FinalResultFile_15.lst"
"EPS2",0.951,0.791,83.1756046267087,"FinalResultFile_15.lst"
"EPS1",0.0226,0.00639,28.2743362831858,"FinalResultFile_1520.lst"
"EPS2",0.00977,0.00192,19.6519959058342,"FinalResultFile_1520.lst"
"EPS1",0.0388,0.00217,5.59278350515464,"FinalResultFile_16.lst"
"EPS2",0.95,0.792,83.3684210526316,"FinalResultFile_16.lst"
"EPS1",0.034,0.00967,28.4411764705882,"FinalResultFile_1681.lst"
"EPS2",0.00935,0.0028,29.9465240641711,"FinalResultFile_1681.lst"
"EPS1",0.0387,0.00216,5.58139534883721,"FinalResultFile_17.lst"
"EPS2",0.904,0.773,85.5088495575221,"FinalResultFile_17.lst"
"EPS1",0.0388,0.00216,5.56701030927835,"FinalResultFile_18.lst"
"EPS2",0.921,0.78,84.6905537459283,"FinalResultFile_18.lst"
"EPS1",0.0241,0.00567,23.5269709543568,"FinalResultFile_1842.lst"
"EPS2",0.00936,0.00187,19.9786324786325,"FinalResultFile_1842.lst"
"EPS1",0.0388,0.00216,5.56701030927835,"FinalResultFile_19.lst"
"EPS2",0.927,0.781,84.2502696871629,"FinalResultFile_19.lst"
"EPS1",0.0388,0.00216,5.56701030927835,"FinalResultFile_20.lst"
"EPS2",0.925,0.78,84.3243243243243,"FinalResultFile_20.lst"
"EPS1",0.00136,0.00256,188.235294117647,"FinalResultFile_2003.lst"
"EPS2",0.0152,0.00319,20.9868421052632,"FinalResultFile_2003.lst"
"EPS1",0.0388,0.00216,5.56701030927835,"FinalResultFile_21.lst"
"EPS2",0.925,0.78,84.3243243243243,"FinalResultFile_21.lst"
"EPS1",0.00178,0.00261,146.629213483146,"FinalResultFile_2164.lst"
"EPS2",0.0166,0.00347,20.9036144578313,"FinalResultFile_2164.lst"
"EPS1",0.0955,NA,NA,"FinalResultFile_22.lst"
"EPS2",0.101,NA,NA,"FinalResultFile_22.lst"
"EPS1",0.0955,NA,NA,"FinalResultFile_23.lst"
"EPS2",0.101,NA,NA,"FinalResultFile_23.lst"
"EPS1",0.0194,0.00348,17.9381443298969,"FinalResultFile_232.lst"
"EPS2",0.00867,0.0011,12.6874279123414,"FinalResultFile_232.lst"
"EPS1",0.00132,0.0025,189.393939393939,"FinalResultFile_2325.lst"
