"parameter","estimate","se","rse","file"
"TH_1",-0.0666,0.041,61.5615615615616,"FinalControlFile.lst"
"TH_2",3.2,0.149,4.65625,"FinalControlFile.lst"
"TH_3",-0.00479,0.000475,9.91649269311065,"FinalControlFile.lst"
"TH_4",0.559,0.118,21.1091234347048,"FinalControlFile.lst"
"TH_5",3.92,0.184,4.69387755102041,"FinalControlFile.lst"
"TH_6",1.44,0.212,14.7222222222222,"FinalControlFile.lst"
"TH_7",12.3,0.997,8.10569105691057,"FinalControlFile.lst"
"TH_8",-0.00726,0.000628,8.65013774104683,"FinalControlFile.lst"
"TH_9",0.541,0.228,42.1441774491682,"FinalControlFile.lst"
"TH10",1.88,0.151,8.03191489361702,"FinalControlFile.lst"
"TH11",0.134,0.0219,16.3432835820896,"FinalControlFile.lst"
"TH12",5.02,0.526,10.4780876494024,"FinalControlFile.lst"
"TH13",-0.00847,0.000522,6.1629279811098,"FinalControlFile.lst"
"TH_1",99.3,3.69,3.71601208459214,"FinalResultFile.lst"
"TH_2",568,22.5,3.9612676056338,"FinalResultFile.lst"
"TH_3",3.51,0.62,17.6638176638177,"FinalResultFile.lst"
"TH_4",0.36,0.0251,6.97222222222222,"FinalResultFile.lst"
"TH_1",1.11,0.062,5.58558558558559,"FinalResultFile_10.lst"
"TH_2",5.68,0.241,4.24295774647887,"FinalResultFile_10.lst"
"TH_3",3.41,0.17,4.98533724340176,"FinalResultFile_10.lst"
"TH_4",0.581,0.0351,6.04130808950086,"FinalResultFile_10.lst"
"TH_5",1.12,0.034,3.03571428571429,"FinalResultFile_10.lst"
"TH_6",3.66,0.614,16.775956284153,"FinalResultFile_10.lst"
"TH_1",5.05,0.491,9.72277227722772,"FinalResultFile_1037.lst"
"TH_2",0.556,0.0381,6.85251798561151,"FinalResultFile_1037.lst"
"TH_3",44.9,2.02,4.4988864142539,"FinalResultFile_1037.lst"
"TH_4",-0.785,0.285,36.3057324840764,"FinalResultFile_1037.lst"
"TH_1",2.81,0.206,7.33096085409253,"FinalResultFile_109.lst"
"TH_2",1.43,0.295,20.6293706293706,"FinalResultFile_109.lst"
"TH_3",31.5,1.48,4.6984126984127,"FinalResultFile_109.lst"
"TH_1",1.11,0.0621,5.59459459459459,"FinalResultFile_11.lst"
"TH_2",5.68,0.241,4.24295774647887,"FinalResultFile_11.lst"
"TH_3",3.41,0.171,5.01466275659824,"FinalResultFile_11.lst"
"TH_4",0.58,0.035,6.03448275862069,"FinalResultFile_11.lst"
